distance_km,time_of_day,day_of_week,traffic_level,weather,area_type,driver_response_time_mins,available_ambulances_nearby,delay_minutes,delay_risk
11.86,18,6,Low,Clear,Urban,3.4,1,18.3,Severe Delay
28.57,7,1,Medium,Fog,Suburban,0.8,3,123.9,Severe Delay
22.23,6,3,Medium,Clear,Urban,4.2,1,35.3,Severe Delay
18.36,15,4,Medium,Clear,Urban,3.0,0,62.8,Severe Delay
5.52,18,5,Low,Rain,Suburban,4.3,3,7.5,Moderate Delay
5.52,5,2,Medium,Clear,Suburban,4.9,0,14.1,Severe Delay
2.68,19,3,Low,Rain,Suburban,4.8,3,5.1,Moderate Delay
26.12,20,0,Medium,Clear,Urban,4.4,4,40.1,Severe Delay
18.43,10,1,Medium,Clear,Suburban,0.5,4,21.7,Severe Delay
21.53,4,0,High,Snow,Urban,4.5,4,189.3,Severe Delay
1.6,15,3,Medium,Clear,Urban,0.8,1,0.5,No Delay
29.13,6,5,Low,Rain,Urban,4.3,3,32.2,Severe Delay
25.14,4,2,Low,Clear,Rural,1.8,1,0.0,No Delay
7.16,10,2,High,Rain,Urban,3.2,3,39.8,Severe Delay
6.27,14,0,Low,Clear,Urban,0.7,0,13.2,Severe Delay
6.32,2,4,Medium,Clear,Urban,4.0,4,10.1,Severe Delay
9.82,4,4,Low,Clear,Urban,1.0,4,6.0,Moderate Delay
16.22,22,5,Medium,Clear,Rural,2.3,3,7.3,Moderate Delay
13.53,20,2,Medium,Clear,Rural,4.2,1,6.4,Moderate Delay
9.45,4,0,Low,Rain,Urban,3.6,1,10.6,Severe Delay
18.74,8,0,Low,Rain,Urban,0.5,2,43.5,Severe Delay
5.05,14,0,High,Clear,Urban,2.3,4,22.8,Severe Delay
9.47,2,3,Medium,Clear,Suburban,0.7,4,10.8,Severe Delay
11.62,5,5,Medium,Clear,Urban,3.5,1,18.2,Severe Delay
14.23,16,4,High,Clear,Urban,4.9,4,58.9,Severe Delay
23.77,20,4,High,Clear,Suburban,3.4,1,74.3,Severe Delay
6.79,7,3,Low,Clear,Urban,1.5,2,10.0,Moderate Delay
15.91,20,1,High,Snow,Urban,2.1,3,143.1,Severe Delay
18.18,10,3,Low,Rain,Urban,4.9,3,19.4,Severe Delay
2.35,5,5,Low,Clear,Urban,1.5,2,0.0,No Delay
18.62,7,0,High,Clear,Suburban,3.0,4,92.4,Severe Delay
5.95,9,3,Low,Rain,Rural,2.3,0,14.2,Severe Delay
2.89,23,0,Low,Clear,Urban,4.0,4,4.3,Moderate Delay
28.52,2,5,Low,Rain,Urban,4.4,1,31.2,Severe Delay
29.0,22,6,Medium,Snow,Rural,2.0,0,130.7,Severe Delay
24.44,13,5,Medium,Clear,Rural,3.5,2,12.0,Severe Delay
9.83,22,2,Medium,Clear,Urban,3.0,3,16.7,Severe Delay
3.83,13,0,High,Rain,Suburban,1.8,3,16.2,Severe Delay
20.84,9,4,Medium,Snow,Urban,1.7,4,144.8,Severe Delay
13.76,11,3,Low,Clear,Suburban,2.9,3,2.4,No Delay
4.54,5,6,High,Rain,Rural,1.2,4,12.4,Severe Delay
15.36,11,5,Low,Clear,Suburban,4.1,1,0.0,No Delay
2.0,22,0,Low,Clear,Urban,0.8,1,0.9,No Delay
27.37,13,6,Low,Rain,Urban,0.9,2,33.2,Severe Delay
8.5,1,1,Medium,Snow,Suburban,2.0,1,30.9,Severe Delay
20.21,8,2,Low,Rain,Suburban,1.0,4,33.4,Severe Delay
10.04,9,1,Low,Rain,Suburban,2.6,3,18.9,Severe Delay
16.08,16,5,Low,Clear,Urban,2.3,1,9.3,Moderate Delay
16.85,16,1,Low,Clear,Suburban,3.7,1,0.0,No Delay
6.36,2,1,Medium,Clear,Suburban,4.8,4,5.6,Moderate Delay
29.12,18,2,High,Clear,Urban,3.9,1,187.9,Severe Delay
23.48,0,2,Medium,Rain,Urban,1.3,3,66.3,Severe Delay
28.25,11,2,Low,Clear,Urban,4.7,3,9.9,Moderate Delay
26.95,6,6,Low,Rain,Suburban,2.3,3,12.5,Severe Delay
18.34,3,2,High,Fog,Suburban,2.6,3,102.2,Severe Delay
27.73,9,1,Low,Clear,Rural,2.4,0,40.4,Severe Delay
3.57,12,4,High,Clear,Urban,1.8,3,14.5,Severe Delay
6.68,1,4,Low,Rain,Rural,4.5,0,12.7,Severe Delay
2.31,9,2,High,Snow,Suburban,2.0,3,22.8,Severe Delay
10.43,20,6,Low,Rain,Urban,3.1,3,10.2,Severe Delay
12.27,21,3,Medium,Clear,Urban,1.6,4,18.1,Severe Delay
8.87,3,0,Medium,Clear,Urban,4.1,3,14.4,Severe Delay
25.03,17,5,Medium,Clear,Rural,4.0,1,34.3,Severe Delay
11.35,4,6,Low,Clear,Urban,1.8,3,3.0,Moderate Delay
9.15,18,3,Medium,Fog,Urban,3.6,2,53.1,Severe Delay
16.74,1,5,Medium,Fog,Urban,3.7,4,57.5,Severe Delay
5.09,11,3,Low,Clear,Rural,3.0,4,0.0,No Delay
24.26,16,3,Low,Clear,Urban,3.2,3,10.9,Severe Delay
3.16,9,4,Medium,Clear,Urban,3.1,2,8.8,Moderate Delay
29.62,1,0,Low,Snow,Urban,0.9,3,68.9,Severe Delay
23.4,5,3,Medium,Clear,Urban,3.5,1,39.2,Severe Delay
6.76,7,2,Low,Rain,Urban,2.6,4,18.0,Severe Delay
1.16,18,5,Medium,Clear,Suburban,2.5,4,4.4,Moderate Delay
24.65,10,6,Low,Rain,Rural,4.4,2,2.1,No Delay
21.5,11,4,Medium,Clear,Rural,0.6,0,32.5,Severe Delay
22.14,8,5,Low,Clear,Suburban,1.6,2,17.1,Severe Delay
23.37,1,2,Low,Rain,Urban,1.0,1,26.2,Severe Delay
3.15,7,2,Low,Clear,Suburban,0.7,2,5.6,Moderate Delay
11.4,10,3,High,Clear,Urban,1.7,0,78.7,Severe Delay
4.36,20,2,Low,Clear,Urban,4.9,1,2.1,No Delay
26.03,3,0,Medium,Clear,Rural,1.7,1,7.9,Moderate Delay
19.08,9,2,Low,Clear,Rural,3.5,0,26.6,Severe Delay
10.6,20,3,Low,Rain,Suburban,1.0,3,6.3,Moderate Delay
2.84,19,5,Medium,Snow,Rural,3.2,2,11.2,Severe Delay
10.02,15,2,Medium,Clear,Rural,4.9,1,5.7,Moderate Delay
10.43,7,4,High,Clear,Suburban,1.8,2,50.8,Severe Delay
22.16,3,6,High,Clear,Suburban,4.3,0,124.7,Severe Delay
19.49,9,4,Medium,Clear,Suburban,5.0,4,41.4,Severe Delay
26.73,11,4,Medium,Clear,Urban,3.1,0,93.6,Severe Delay
14.69,13,5,Medium,Rain,Urban,1.9,2,36.2,Severe Delay
4.47,15,1,Low,Clear,Suburban,3.5,1,0.6,No Delay
21.68,21,6,High,Clear,Urban,4.3,2,87.9,Severe Delay
23.06,17,4,Medium,Fog,Urban,1.3,4,127.5,Severe Delay
17.28,20,4,Medium,Snow,Urban,2.5,1,78.0,Severe Delay
23.36,21,1,Low,Snow,Urban,1.9,4,53.5,Severe Delay
15.32,20,5,Low,Rain,Rural,1.8,3,2.1,No Delay
16.16,11,6,High,Snow,Suburban,4.4,0,186.3,Severe Delay
13.4,17,4,Low,Clear,Suburban,2.4,3,15.2,Severe Delay
1.74,6,3,Medium,Clear,Rural,2.0,2,0.0,No Delay
4.13,19,5,Low,Clear,Rural,3.2,3,1.4,No Delay
1.91,23,6,High,Rain,Suburban,1.5,0,14.0,Severe Delay
19.46,22,4,Low,Snow,Rural,1.5,1,17.4,Severe Delay
10.12,6,4,High,Clear,Urban,2.8,4,40.2,Severe Delay
15.75,8,1,Low,Rain,Urban,2.3,1,36.6,Severe Delay
27.32,0,6,High,Rain,Urban,1.8,3,157.4,Severe Delay
8.23,5,3,Medium,Snow,Suburban,0.7,2,29.4,Severe Delay
12.9,5,5,Low,Rain,Suburban,2.8,3,7.0,Moderate Delay
22.91,21,2,Medium,Snow,Suburban,4.2,0,139.7,Severe Delay
7.64,11,0,Low,Clear,Suburban,4.3,0,8.0,Moderate Delay
3.23,21,3,Low,Clear,Urban,1.6,2,0.0,No Delay
9.4,11,2,High,Clear,Urban,3.2,1,38.8,Severe Delay
5.68,9,3,Medium,Clear,Suburban,4.4,0,22.5,Severe Delay
27.96,22,6,Low,Clear,Urban,2.3,0,45.7,Severe Delay
24.44,5,2,Low,Rain,Suburban,4.7,2,15.5,Severe Delay
19.37,16,6,Low,Rain,Suburban,4.6,1,11.4,Severe Delay
26.27,18,2,High,Rain,Suburban,1.4,3,184.3,Severe Delay
24.31,17,3,Low,Clear,Urban,1.7,4,33.1,Severe Delay
6.41,5,1,High,Clear,Suburban,1.3,2,17.2,Severe Delay
26.88,23,3,High,Clear,Rural,1.4,1,53.5,Severe Delay
16.64,18,6,Low,Clear,Rural,4.6,4,5.6,Moderate Delay
24.42,9,3,Low,Clear,Rural,4.7,2,5.8,Moderate Delay
26.99,23,2,High,Clear,Suburban,0.7,3,83.5,Severe Delay
10.22,7,0,Low,Clear,Urban,3.2,3,14.5,Severe Delay
4.19,20,2,Low,Rain,Suburban,3.0,1,4.1,Moderate Delay
7.61,23,4,Low,Clear,Rural,2.3,1,0.0,No Delay
13.39,5,3,Medium,Snow,Urban,3.3,3,62.8,Severe Delay
24.72,20,5,Medium,Clear,Urban,4.8,3,36.9,Severe Delay
25.96,6,3,Low,Snow,Urban,1.3,2,59.2,Severe Delay
1.2,23,1,Low,Clear,Suburban,1.0,1,0.1,No Delay
15.81,0,6,High,Clear,Urban,0.7,4,64.8,Severe Delay
13.1,17,5,Medium,Clear,Urban,2.1,3,40.2,Severe Delay
7.44,23,2,Medium,Fog,Rural,2.0,4,11.9,Severe Delay
4.48,19,1,Medium,Clear,Suburban,2.4,1,11.9,Severe Delay
10.79,11,3,Medium,Clear,Urban,2.8,1,16.6,Severe Delay
