Feature,Importance
distance_km,0.2720084687587879
time_of_day,0.11150833165774565
driver_response_time_mins,0.09771185279626188
traffic_level_Low,0.09155881600946549
available_ambulances_nearby,0.08538772636659236
day_of_week,0.05915662134018447
area_type_Urban,0.052549182325370196
weather_Clear,0.04948589298855705
traffic_level_High,0.044455653939272935
area_type_Rural,0.038703989920020075
traffic_level_Medium,0.03390923900380108
area_type_Suburban,0.02008192837257206
weather_Snow,0.01836013690713479
weather_Rain,0.016371350429413768
weather_Fog,0.008750809184820327
